date,title,views,likes,comments,team_score,opponent_score,result
2017-10-14,Watford 2-1 Arsenal | Arsenal Are Now Just An Average Team!!,169316,2824.0,746,1.0,2.0,loss
2017-10-15,Watford 2-1 Arsenal | I've Supported Arsenal Since 1967 & Things Are Bad At The Moment!,60090,1125.0,132,1.0,2.0,loss
2017-10-19,Red Star Belgrade 0 -1 Arsenal | It's Time To Start Jack Wilshere Every week!!,419796,6314.0,948,1.0,0.0,win
2017-10-22,Everton 2-5 Arsenal | Fan From Chile Wants Alexis To Stay At Arsenal!,209561,4443.0,640,5.0,2.0,win
2017-11-05,Man City 3 -1 Arsenal | We're Out Of The Title Race And It's Only November! (Lee Gunner RANT),241875,3593.0,508,1.0,3.0,loss
2017-11-18,"Arsenal 2-0 Tottenham | ""I'm Ozil's Biggest Critic But He Was Fantastic Today!""",45691,637.0,48,2.0,0.0,win
2017-12-14,West Ham 0-0 Arsenal | Player Ratings - Very Poor Performance (FT Toopz & TY),118286,2414.0,608,0.0,0.0,draw
2017-12-19,Arsenal 1-0 West Ham | The Only Downside Was Giroud's Injury (Kelechi),40004,817.0,109,1.0,0.0,win
2017-12-28,Crystal Palace 2-3 Arsenal | Our Players Were The 'Ham Rolls'  Today (Palace Fan),279739,5017.0,673,3.0,2.0,win
2018-01-07,Nottingham Forest 4-2 Arsenal | Wenger Just Threw Away The Thing That's Saved Him In The Past (Rant),146538,2404.0,299,2.0,4.0,loss
2018-01-11,Chelsea 0-0 Arsenal | Not Starting Alexis & Ozil Cost Us The Win!,13782,202.0,33,0.0,0.0,draw
2018-01-14,Bournemouth 2-1 Arsenal | It's Going To Get A Lot Worse!,153265,2225.0,422,1.0,2.0,loss
2018-01-24,Arsenal 2-1  Chelsea - Full Time Phone In - FanPark Live,420227,6693.0,861,2.0,1.0,win
2018-01-25,Arsenal's next signing spotted?  Riyad Mahrez Leaving The Emirates Stadium ! | Arsenal 2-1 Chelsea,114903,1601.0,336,2.0,1.0,win
2018-01-30,Swansea City 3-1 Arsenal | We Haven't Had A Good Defence For 13 Years!,196164,2462.0,433,1.0,3.0,loss
2018-03-04,Brighton 2-1 Arsenal | I Wanted Wenger Out 5 Years Ago!,59090,598.0,93,1.0,2.0,loss
