date,title,views,likes,comments,team_score,opponent_score,result
2017-09-30,Manchester United Fan Sam Tarly from Game of Thrones FanCam! Man Utd 4-0 Crystal Palace,33632,1652,132.0,0.0,4.0,loss
2017-10-14,"""Lukaku Has To Do More!"" Liverpool 0-0 Manchester United FanCam",12208,413,83.0,0.0,0.0,draw
2017-10-21,Huddersfield 2-1 Manchester United | MOURINHO Not To Blame! FANCAM,6175,189,22.0,1.0,2.0,loss
2017-10-28,Mourinho Silences Doubters! Manchester United vs Tottenham 1-0,37582,1214,148.0,0.0,1.0,loss
2017-11-01,Can Man United Win The Champions League With Mourinho? Manchester United 2-0 Benfica Reaction,13767,460,53.0,2.0,0.0,win
2017-11-05,WHY DIDNT MAN UNITED ATTACK? (LEWIS 100% CHELSEA) : Chelsea 1-0 Manchester United,13575,412,65.0,0.0,1.0,loss
2017-11-18,Manchester United vs Newcastle United 4-1 FanCams and Player Ratings,18059,581,73.0,1.0,4.0,loss
2017-11-25,Manchester United 1-0 Brighton | LUCKY YOUNG GOAL SAVES MOURINHO's BLUSHES,32072,1192,185.0,1.0,0.0,win
2017-12-02,"""MESSI LINGARD Was Incredible!"" Arsenal 1-3  Manchester United fancam",21830,637,113.0,3.0,1.0,win
2017-12-05,Manchester United 2-1 CSKA Moscow | LUKAKU & SHAW Strike Back!,33270,1156,136.0,2.0,1.0,win
2017-12-06,"""Lukaku Back On Fire!"" Manchester United 2-1 CSKA Moscow FanCams",11098,334,54.0,2.0,1.0,win
2017-12-10,"""LUKAKU IS S**T!"" Manchester United 1-2 Manchester City Fan Reaction",510223,5072,1232.0,1.0,2.0,loss
2017-12-11,"""MOURINHO Let The Fans Down!"" Manchester United vs Manchester City 2-1 FAN Reaction",73369,632,295.0,1.0,2.0,loss
2017-12-14,"Manchester United 1-0 Bournemouth | ""A WIN IS ALL THAT MATTERS!""",16848,474,133.0,1.0,0.0,win
2017-12-17,"""We're SH*T Without POGBA!"" Manchester United 2-1 West Brom FanCams",80473,1637,428.0,2.0,1.0,win
2017-12-23,"""FU*KING SHAMBLES!"" Leicester City 2-2 Manchester United | The United Stand FANCAMs",18741,336,46.0,2.0,2.0,draw
2017-12-24,"Leicester City 2-2 Manchester United | ""Champions League? No Chance!"" The United Stand FANCAMS",11885,192,31.0,2.0,2.0,draw
2017-12-26,Manchester United Player Ratings | Manchester United 2-2 Burnley,57172,1079,331.0,2.0,2.0,draw
2017-12-27,Manchester United 2-2 Burnley | SCHOOLBOY ERRORS AT THE BACK!,11003,249,27.0,2.0,2.0,draw
2017-12-30,"""UNITED HAVEN'T IMPROVED"" FLEX Manchester United vs Southampton 0-0 Match Reaction",346399,4324,1219.0,0.0,0.0,draw
2018-01-01,"""MOURINHO SHOWED HIS CLASS!"" Everton 0-2 Manchester United FLEX Match Review",69816,1514,211.0,2.0,0.0,win
2018-01-06,United Stand Player Ratings! Manchester United vs Derby County 2-0,48359,1395,170.0,0.0,2.0,loss
2018-01-15,"""MARTIAL Snubs ARSENAL!"" Manchester United 3-0 Stoke City FLEX Review",109322,2449,204.0,3.0,0.0,win
2018-01-16,"""SANCHEZ & GRIEZMANN Will Come!"" Manchester United 3-0 Stoke City FanCam",52626,1134,149.0,3.0,0.0,win
2018-01-20,"""LUKAKU Was Fantastic Today!"" Burnley vs Manchester United 0-1 FanCam",92332,1992,245.0,0.0,1.0,loss
2018-01-26,"""Messi Lingard & Sanchez Brilliant!"" Yeovil 0-4 Manchester United FanCam",10682,338,42.0,4.0,0.0,win
2018-01-27,Man United Player Ratings | Yeovil Town 0-4 Manchester United,33103,802,89.0,4.0,0.0,win
2018-01-31,"""Phil JONES Is SHOCKING!"" Tottenham 2-0 Manchester United FanCam",25269,346,110.0,0.0,2.0,loss
2018-02-01,"""POCHETTINO Schooled MOURINHO!"" OPPO FanCam Tottenham 1-0 Manchester United",32179,429,201.0,0.0,1.0,loss
2018-02-03,McTOMINAY Isn't POGBA! Manchester United 2-0 Huddersfield FANCAM,50844,1216,161.0,2.0,0.0,win
2018-02-11,"""United Players Disrespect The Fans!"" Newcastle United 1-0 Manchester United FanCam",48021,541,144.0,0.0,1.0,loss
2018-02-17,Manchester United Player Ratings! Huddersfield 0-2 Man United FA CUP,85744,2389,310.0,2.0,0.0,win
2018-02-18,MOURINHO's Manchester United Tactics Analysis | HUDDERSFIELD vs MAN UNITED 0-2,19393,742,172.0,0.0,2.0,loss
2018-02-21,"""Draw Not Too Bad!"" Sevilla vs Manchester United 0-0 FanCam",23170,488,67.0,0.0,0.0,draw
2018-02-22,"""ENTERTAIN US JOSE!"" Sevilla 0-0 Manchester United Champions League FANCAM",42170,1074,236.0,0.0,0.0,draw
2018-02-25,"""MOURINHO WON THE WAR!"" Manchester United vs Chelsea 2-1 FLEX",165118,3150,350.0,1.0,2.0,loss
2018-03-05,Crystal Palace 2-3 Manchester United | MATIC GOAL WINS IT!!!!,102373,2177,210.0,3.0,2.0,win
2018-03-06,"""I LOVE MOURINHO!"" Crystal Palace 2-3 Manchester United FANCAM",39495,976,94.0,3.0,2.0,win
2018-03-10,"""Mourinho is the man!"" Manchester United VS Liverpool 2-1",251912,7216,670.0,1.0,2.0,loss
2018-03-13,"""LONG BALL MOURINHO!"" Manchester United 1-2 Sevilla FANCAM",252786,3416,841.0,1.0,2.0,loss
2018-03-14,MANCHESTER UNITED vs SEVILLA 1-2 MATCHDAY Vlog,84786,1433,329.0,2.0,1.0,win
2018-03-17,Manchester United 2-0 Brighton | LUKAKU Goal & MATIC Goal Win It!,47888,1483,197.0,2.0,0.0,win
2018-03-18,Mourinho Losing Players? Manchester United vs Brighton 2-0,32423,589,229.0,0.0,2.0,loss
2018-03-31,POGBA GOOD & BAD! Manchester United vs Swansea 2-0 FAN CAM,84479,1993,363.0,0.0,2.0,loss
2018-04-07,GOLDBRIDGE |  MOURINHO Proves He CAN Change! Man City vs Man Utd 2-3,287914,7198,804.0,3.0,2.0,win
2018-04-15,MOURINHO TO BLAME! Manchester United 0-1 West Bromwich Albion | The United Stand FanCam,52832,955,221.0,0.0,1.0,loss
2018-04-18,Mourinho Didn't Fool Me! Bournemouth 0-2 Manchester United,58562,1654,352.0,2.0,0.0,win
2018-04-19,Manchester United vs Bournemouth 2-0 | MARTIAL MUST START,11474,225,61.0,0.0,2.0,loss
2018-04-21,PAUL POGBA BOSSED IT! Manchester United 2-1 Tottenham Hotspur,179284,4731,544.0,2.0,1.0,win
2018-04-29,An OK Man Utd Season! Bryan ROBSON FanCam | Manchester United 2-1 Arsenal,17388,705,61.0,2.0,1.0,win
2018-05-04,Angry United Fan! Brighton 1-0 Manchester United,96663,1372,529.0,0.0,1.0,loss
2018-05-05,United are Boring! Brighton 1-0 Manchester United FLEX,21645,444,103.0,0.0,1.0,loss
2018-05-10,Going Backwards!  West Ham vs Man United 0-0 FANCAMS,70962,1702,586.0,0.0,0.0,draw
2018-05-13,Fans Were Shocking! Manchester United 1-0 Watford FANCAMS,196377,3926,965.0,1.0,0.0,win
2018-05-19,MOURINHO WON NOTHING! Chelsea 1-0 Manchester United FANCAMS,196559,3161,898.0,0.0,1.0,loss
2018-05-20,Uncensored FA CUP FINAL Vlog  Chelsea Manchester United 1-0,17185,444,85.0,1.0,0.0,win
2018-05-26,Manchester United Predicted LineUp 2018/19 Season With Transfers,53274,1195,375.0,1.0,8.0,loss
2018-06-09,"MANCHESTER UNITED POSSIBLE LINEUP 2018/19 FT FRED, ALDERWEIRELD, MILINKOVIC-SAVIC, SANDRO",48163,1386,314.0,1.0,8.0,loss
2018-06-14,Mourinho vs Anthony Martial! Manchester United Fixtures 2018/19 Reaction,34173,1052,386.0,1.0,8.0,loss
2018-07-17,Man Utd NEW Home Kit 2018/19 Review! Worst Home Kit Ever or Looks Great?,50160,1561,537.0,1.0,8.0,loss
2018-07-20,Manchester United 1-1 Club America | MATA Goal Saves It!,56769,1232,193.0,1.0,1.0,draw
2018-07-22,BORING Mourinho! Manchester United 0-0 San Jose Earthquakes,63664,1447,566.0,0.0,0.0,draw
2018-07-26,Manchester United 1-1 AC Milan | Alexis SANCHEZ Goal & Penalties Win It!,59847,1432,244.0,1.0,1.0,draw
2018-08-01,Manchester United 2-1 Real Madrid | Sanchez & Herrera Goals Win It!,51493,1641,199.0,2.0,1.0,win
2018-08-08,Manchester United 2018/19 Season Preview! Mourinho's Title?,56082,1607,518.0,1.0,8.0,loss
