,,draw,loss,win
views,min,11003.0,6175.0,10682.0
views,max,560487.0,872637.0,684052.0
views,mean,210955.54545454544,231980.79487179487,190234.6972477064
views,median,188398.0,146680.0,123320.0
likes,min,192.0,189.0,329.0
likes,max,14563.0,21801.0,35676.0
likes,mean,5632.509090909091,5586.294871794872,6556.183486238532
likes,median,4110.0,3155.5,3394.0
comments,min,27.0,22.0,32.0
comments,max,2888.0,4450.0,2018.0
comments,mean,761.2,858.8717948717949,517.0366972477065
comments,median,654.0,597.5,353.0
