title,date,views,likes,comments,team_score,opponent_score
"Wow What A Window, I'm Excited! | AFTV Transfer Daily Full Review",2019-08-09,258998,6689.0,2185,,
Arsenal Will Be Back In The Top 4 With This Team | AFTV Deadline Day,2019-08-08,13873,264.0,58,,
I Can't Wait To See Pepe & Ceballos In Action! (Kieron & Broadz - AFTV FC),2019-08-08,57078,773.0,152,,
The Loan From Arsenal To Leeds Is Good For Nketiah ! | AFTV Deadline Day,2019-08-08,9507,201.0,27,,
I Would Have Rathered We Sold Mkhitaryan & Kept Iwobi! Claude & Ty (Rant) | AFTV Deadline Day,2019-08-08,224404,3496.0,1296,,
Welcome To Arsenal David Luiz! | Gunners Nick Chelsea Centre Back,2019-08-08,313738,6601.0,1907,,
"I Wanted Iwobi To Stay, But Thats Football! (Emotional Kelechi)",2019-08-08,124571,2788.0,526,,
Arsenal's Signing Of Pepe Was A Statement Of Intent! (Eisa) | AFTV Deadline Day,2019-08-08,30013,453.0,72,,
"Arsenal Have For Once, Addressed All Issues In One Transfer Window |  AFTV Deadline Day",2019-08-08,12616,235.0,83,,
Raul Sanllehi Is The Best Signing Arsenal Have Made Since Ozil! | AFTV Deadline Day,2019-08-08,20768,339.0,68,,
Arsenal Will Do Well If David Luiz Plays In A Back Three (Chelsea Fan) | AFTV Deadline Day,2019-08-08,32775,495.0,89,,
Raul Sanllehi & Edu Have Given Arsenal Fans Hope Again! (Bhav) | AFTV Deadline Day,2019-08-08,22086,529.0,97,,
Pepe's The Most Exciting Signing But David Luiz May Be The Most Crucial! (Curtis) | Deadline Day,2019-08-08,46681,848.0,175,,
With David Luiz We've Taken One Of Chelsea's Top Defenders! | AFTV Deadline Day,2019-08-08,37419,635.0,219,,
I Can't Blame Arsenal For Cashing In On Iwobi | AFTV Deadline Day,2019-08-08,53183,1165.0,254,,
Welcome To Arsenal Kieran Tierney! | The Gunners Get Their Man,2019-08-08,144440,4031.0,920,,
Deadline Day Madness! Tierney & Luiz Incoming But Who Else? | AFTV Transfer Daily,2019-08-08,286693,6269.0,2132,,
"Tierney Deal Back On, Rugani Agrees Terms & Elneny Close To Exit! | AFTV Transfer Daily",2019-08-07,229310,4298.0,1396,,
Koscielny Has Ruined His Legacy At Arsenal! | Claude & Ty Show,2019-08-06,68996,1320.0,557,,
No Pepe No Party! (Arsenal v Barca) | AFTV In Barcelona Vlog ft DT,2019-08-05,93037,1595.0,223,,
Barcelona 2-1 Arsenal  | What Do You Expect From Arsenal This Season? (Robbie Asks Fans),2019-08-04,54244,729.0,228,1.0,2.0
Barcelona 2-1 Arsenal  | Get Rid Of Mustafi But Give Maitland-Niles Time!,2019-08-04,28400,431.0,142,1.0,2.0
Barcelona 2-1 Arsenal  | I Think We Can Still Come 3rd Even With This Defence,2019-08-04,22926,328.0,99,1.0,2.0
Barcelona 2-1 Arsenal  | We Should Go For Umtiti Or Upamecano!,2019-08-04,18007,304.0,93,1.0,2.0
Barcelona 2-1 Arsenal  | Aubameyang Looked Strong & Sharp!,2019-08-04,11713,238.0,25,1.0,2.0
Barcelona 2-1 Arsenal  | Willock Stood Out In Pre-Season! Start Him At Newcastle! (DT),2019-08-04,293706,5290.0,943,1.0,2.0
Barcelona 2-1 Arsenal  | Willy Boly From Wolves Would Make A Good Signing In Defence!,2019-08-04,52387,721.0,210,1.0,2.0
Barcelona 2-1 Arsenal  | Why Is Mustafi Playing For This Club!!,2019-08-04,26178,400.0,185,1.0,2.0
Barcelona 2-1 Arsenal | Maitland-Niles Is Too Sloppy!,2019-08-04,34035,635.0,206,1.0,2.0
Will Arsenal Be Leaving Barcelona With Any of Their Stars? (Feat DT) | AFTV Transfer Daily,2019-08-04,160361,3051.0,900,,
Arsenal Discuss Loan Move For Philippe Coutinho With Barca! | AFTV Transfer Daily,2019-08-03,269165,4902.0,1659,,
"Nicolas Pepe, Are We Excited Yet? | Turkish Presents THE SUPPORTERS CLUB",2019-08-03,84619,1901.0,522,,
Welcome to Arsenal Nicolas Pépé!!! | Gunners Pull Off Transfer Coup,2019-08-01,236314,6360.0,1311,,
DEFENCE FIRST!!!  | A Nicolas Pépé Free AFTV Transfer Daily,2019-08-01,137086,2799.0,730,,
"Do French Fans Rate Pepe? | AFTV Vlog in Angers, France",2019-08-01,65468,1409.0,267,,
Angers (3-4 Pens) Arsenal  | Mustafi Is Not A Scapegoat It's Time To Get Rid Of Him! (DT),2019-07-31,228713,3909.0,838,4.0,3.0
Angers (3-4 Pens) Arsenal  | We Can Win The League This Season If We Improve Our Defense!,2019-07-31,34334,590.0,177,4.0,3.0
Angers (3-4 Pens) Arsenal  | Fans From Lille Say Pépé Can Replace Sanchez!,2019-07-31,43812,616.0,95,4.0,3.0
Angers (3-4 Pens) Arsenal  | Pépé Can Play As A Winger & Striker!,2019-07-31,20551,393.0,49,4.0,3.0
Angers (3-4 Pens) Arsenal  | Aubameyang Was Impressive Today!,2019-07-31,13395,498.0,78,4.0,3.0
Angers (3-4 Pens) Arsenal  | Pépé Will Link Up Well With Aubameyang & Lacazette!,2019-07-31,18108,396.0,60,4.0,3.0
Angers (3-4 Pens) Arsenal  | We Need To Sign A Defender Like Umtiti!,2019-07-31,22547,555.0,139,4.0,3.0
David Seaman SURPRISES Keeper | 'I had the secret formula'  | BLUD BRUVVAS EXTENDED,2019-07-31,11675,345.0,38,,
Just How Good Is Nicolas Pépé? l Get French Football News Gives The Lowdown,2019-07-30,216734,4075.0,1063,,
Pepe Is An Amazing Signing & Booing Mustafi Is Disgraceful! | Claude & Ty Show,2019-07-30,101003,1509.0,586,,
Arsenal 1-2 Lyon | Maybe Our Plan With Pepe Is To Outscore Teams (Livz),2019-07-28,60236,921.0,181,1.0,2.0
Arsenal 1-2 Lyon | Nicolas Pepe or A Centre Back? (Robbie Asks The Fans),2019-07-28,123281,1807.0,455,1.0,2.0
Arsenal 1-2 Lyon | We Are Excited About Nicolas Pepe! (Curtis & Broadz),2019-07-28,35001,619.0,102,1.0,2.0
Arsenal 1- 2 Lyon | Kroenke Is Spending Because Of The Fans! (Troopz),2019-07-28,361511,5866.0,861,1.0,2.0
Arsenal 1- 2 Lyon | Why Are Fans Booing Mustafi? (Kelechi),2019-07-28,63632,1499.0,263,1.0,2.0
"Arsenal 1- 2 Lyon | Aubameyang, Lacazette & Pepe Is A Dream Attack!",2019-07-28,18142,325.0,84,1.0,2.0
Arsenal 1- 2 Lyon | I'm Confident We Will Get Top Four!,2019-07-28,21023,357.0,85,1.0,2.0
Arsenal 1- 2 Lyon | Defensively We Are Not Ready For The New Season! (DT),2019-07-28,258169,4484.0,787,1.0,2.0
Arsenal 1- 2 Lyon | Dani Ceballos Has Amazing Energy!,2019-07-28,36146,692.0,124,1.0,2.0
"Hey Josh, We're Very Very Excited About Pépé | AFTV Transfer Daily",2019-07-28,215250,5291.0,2093,,
Arsenal Midfielder Kim Little Talks About The Emirates Cup & The Women’s World Cup 2019!,2019-07-26,12349,338.0,56,,
MINISODE 2 | BLUD BRUVVAS 2 PRESEASON | DO YOUR TALKING ON THE PITCH!,2019-07-26,106598,2026.0,267,,
Who Said We Only Have £40m To Spend? (More To Come After Saliba) | AFTV Transfer Daily,2019-07-26,214639,4021.0,1304,,
Give Joe Willock A Chance This Season! | Claude & Ty Show,2019-07-25,36163,739.0,298,,
Arsenal Fans Are Still Waiting To Get Excited Josh! | AFTV Transfer Daily,2019-07-25,130878,2642.0,1171,,
Arsenal’s Big Real Madrid Test in DC! | AFTV In Washington Vlog Day 12,2019-07-24,61527,1319.0,307,,
Arsenal 2-3 (Pens) Real Madrid | Can Stan Kroenke Take Arsenal Forward? (Fans Debate),2019-07-24,66574,971.0,341,2.0,3.0
Arsenal 2-3 (Pens) Real Madrid | The American Kelechi Calls On Kroenke To Support Unai Emery!,2019-07-24,37948,676.0,88,2.0,3.0
Arsenal 2-3 (Pens) Real Madrid | Who's Going To Replace Koscielny?,2019-07-24,13284,263.0,32,2.0,3.0
Arsenal 2-3 (Pens) Real Madrid | Fan Who Went Viral With Edu Transfer Story Speaks Out!,2019-07-24,24051,458.0,45,2.0,3.0
Arsenal 2-3 (Pens) Real Madrid | Fan Praises Arsenal For How They Have Treated American Fans!,2019-07-24,11497,274.0,35,2.0,3.0
Arsenal 2-3 (Pens) Real Madrid | I Hope Cabellos Wont Be Another Denis Suarez! (Moh),2019-07-24,82533,1577.0,270,2.0,3.0
Arsenal 2-3 (Pens) Real Madrid | This Tour Might Change Kroenke!,2019-07-24,10884,344.0,57,2.0,3.0
Arsenal 2-3 (Pens) Real Madrid | Stan Needs To Give Josh Kroenke Full Power!,2019-07-24,8560,186.0,58,2.0,3.0
Arsenal 2-3 (Pens) Real Madrid | We Don't Care About The LA Rams We Just Love Arsenal!,2019-07-24,9008,254.0,28,2.0,3.0
Arsenal 2-3 (Pens) Real Madrid | We Need Reinforcements! (Troopz),2019-07-24,153933,3859.0,438,2.0,3.0
Arsenal 2-3 (Pens) Real Madrid | I Have Faith In Eddie!,2019-07-24,12265,393.0,50,2.0,3.0
Arsenal 2-3 (Pens) Real Madrid | We Need A New Defence!,2019-07-24,14539,339.0,107,2.0,3.0
Robbie & Troopz Search For Trump at The RED House! | AFTV Vlog in Washington D.C. Day 11,2019-07-23,55918,1307.0,318,,
Would You Take Gareth Bale At Arsenal? | The Biased Premier League Show,2019-07-23,118179,2712.0,610,,
Robbie & Troopz Get Southern Hospitality In Atlanta! | AFTV Vlog in The USA Day 10,2019-07-22,80453,1950.0,409,,
Aubameyang Loving Life In The South!   | AFTV Vlog In The USA Day 9,2019-07-22,104158,2447.0,427,,
Iwobi Accuses Media of Fake News & Icardi Rejects Arsenal! | AFTV Transfer Daily,2019-07-21,148164,2903.0,886,,
Arsenal 3-0 Fiorentina  | Stan Kroenke Needs To Have Our Passion!,2019-07-21,22846,352.0,151,3.0,0.0
Arsenal 3-0 Fiorentina | Is Unai Emery The Right Man? (Fans Debate),2019-07-21,34399,635.0,218,3.0,0.0
Arsenal 3-0 Fiorentina | Eddie Nketiah & Willock Deserve A Chance In The First Team Now!,2019-07-21,9824,203.0,35,3.0,0.0
Arsenal 3-0 Fiorentina | I'm Not Optimistic For This Season If We Don't Make Signings!,2019-07-21,13761,291.0,56,3.0,0.0
Arsenal 3-0 Fiorentina | Arsenal Has A Bigger Fan Base Than The LA Rams! (Message To Stan),2019-07-21,18079,592.0,97,3.0,0.0
Arsenal 3-0 Fiorentina | I'd Buy Two Defenders Instead Of Zaha!,2019-07-21,11435,294.0,57,3.0,0.0
"Arsenal 3-0 Fiorentina | Don't Loan Eddie Nketiah, KEEP HIM!!!",2019-07-21,13641,322.0,39,3.0,0.0
Arsenal 3-0 Fiorentina | Good Performance But Still The Same Old Errors In Defence!,2019-07-21,9499,215.0,39,3.0,0.0
Arsenal 3-0 Fiorentina | I Think The Petition Got Stan Kroenke's Attention!,2019-07-21,14692,313.0,40,3.0,0.0
Arsenal 3-0 Fiorentina | Eddie Is The Man of The Moment!,2019-07-21,11437,343.0,61,3.0,0.0
Arsenal 3-0 Fiorentina | Lacazette Should Be Captain! (Troopz),2019-07-21,128164,3386.0,428,3.0,0.0
Arsenal Fans Invade North Carolina! | AFTV Vlog in Charlotte Day 7/8,2019-07-20,73862,1629.0,290,8.0,7.0
