title,date,views,likes,comments
"Wow What A Window, I'm Excited! | AFTV Transfer Daily Full Review",2019-08-09T08:28:55Z,258998,6689,2185
Arsenal Will Be Back In The Top 4 With This Team | AFTV Deadline Day,2019-08-08T21:26:01Z,13873,264,58
I Can't Wait To See Pepe & Ceballos In Action! (Kieron & Broadz - AFTV FC),2019-08-08T21:26:27Z,57078,773,152
The Loan From Arsenal To Leeds Is Good For Nketiah ! | AFTV Deadline Day,2019-08-08T21:09:57Z,9507,201,27
I Would Have Rathered We Sold Mkhitaryan & Kept Iwobi! Claude & Ty (Rant) | AFTV Deadline Day,2019-08-08T19:57:06Z,224404,3496,1296
Welcome To Arsenal David Luiz! | Gunners Nick Chelsea Centre Back,2019-08-08T19:02:25Z,313738,6601,1907
"I Wanted Iwobi To Stay, But Thats Football! (Emotional Kelechi)",2019-08-08T18:50:57Z,124571,2788,526
Arsenal's Signing Of Pepe Was A Statement Of Intent! (Eisa) | AFTV Deadline Day,2019-08-08T18:36:05Z,30013,453,72
"Arsenal Have For Once, Addressed All Issues In One Transfer Window |  AFTV Deadline Day",2019-08-08T18:22:09Z,12616,235,83
Raul Sanllehi Is The Best Signing Arsenal Have Made Since Ozil! | AFTV Deadline Day,2019-08-08T18:16:16Z,20768,339,68
Arsenal Will Do Well If David Luiz Plays In A Back Three (Chelsea Fan) | AFTV Deadline Day,2019-08-08T17:54:42Z,32775,495,89
Raul Sanllehi & Edu Have Given Arsenal Fans Hope Again! (Bhav) | AFTV Deadline Day,2019-08-08T16:56:03Z,22086,529,97
Pepe's The Most Exciting Signing But David Luiz May Be The Most Crucial! (Curtis) | Deadline Day,2019-08-08T16:53:11Z,46681,848,175
With David Luiz We've Taken One Of Chelsea's Top Defenders! | AFTV Deadline Day,2019-08-08T16:41:03Z,37419,635,219
I Can't Blame Arsenal For Cashing In On Iwobi | AFTV Deadline Day,2019-08-08T16:31:24Z,53183,1165,254
Welcome To Arsenal Kieran Tierney! | The Gunners Get Their Man,2019-08-08T15:53:47Z,144440,4031,920
Deadline Day Madness! Tierney & Luiz Incoming But Who Else? | AFTV Transfer Daily,2019-08-08T08:06:06Z,286693,6269,2132
"Tierney Deal Back On, Rugani Agrees Terms & Elneny Close To Exit! | AFTV Transfer Daily",2019-08-07T08:05:21Z,229310,4298,1396
Koscielny Has Ruined His Legacy At Arsenal! | Claude & Ty Show,2019-08-06T15:07:23Z,68996,1320,557
No Pepe No Party! (Arsenal v Barca) | AFTV In Barcelona Vlog ft DT,2019-08-05T07:49:39Z,93037,1595,223
Barcelona 2-1 Arsenal  | What Do You Expect From Arsenal This Season? (Robbie Asks Fans),2019-08-04T22:47:08Z,54244,729,228
Barcelona 2-1 Arsenal  | Get Rid Of Mustafi But Give Maitland-Niles Time!,2019-08-04T22:42:27Z,28400,431,142
Barcelona 2-1 Arsenal  | I Think We Can Still Come 3rd Even With This Defence,2019-08-04T22:37:16Z,22926,328,99
Barcelona 2-1 Arsenal  | We Should Go For Umtiti Or Upamecano!,2019-08-04T22:35:38Z,18007,304,93
Barcelona 2-1 Arsenal  | Aubameyang Looked Strong & Sharp!,2019-08-04T22:29:36Z,11713,238,25
Barcelona 2-1 Arsenal  | Willock Stood Out In Pre-Season! Start Him At Newcastle! (DT),2019-08-04T22:21:51Z,293706,5290,943
Barcelona 2-1 Arsenal  | Willy Boly From Wolves Would Make A Good Signing In Defence!,2019-08-04T22:13:39Z,52387,721,210
Barcelona 2-1 Arsenal  | Why Is Mustafi Playing For This Club!!,2019-08-04T22:05:30Z,26178,400,185
Barcelona 2-1 Arsenal | Maitland-Niles Is Too Sloppy!,2019-08-04T22:00:53Z,34035,635,206
Will Arsenal Be Leaving Barcelona With Any of Their Stars? (Feat DT) | AFTV Transfer Daily,2019-08-04T11:05:17Z,160361,3051,900
Arsenal Discuss Loan Move For Philippe Coutinho With Barca! | AFTV Transfer Daily,2019-08-03T10:22:45Z,269165,4902,1659
"Nicolas Pepe, Are We Excited Yet? | Turkish Presents THE SUPPORTERS CLUB",2019-08-03T06:39:47Z,84619,1901,522
Welcome to Arsenal Nicolas Pépé!!! | Gunners Pull Off Transfer Coup,2019-08-01T15:32:21Z,236314,6360,1311
DEFENCE FIRST!!!  | A Nicolas Pépé Free AFTV Transfer Daily,2019-08-01T14:20:10Z,137086,2799,730
"Do French Fans Rate Pepe? | AFTV Vlog in Angers, France",2019-08-01T13:19:56Z,65468,1409,267
Angers (3-4 Pens) Arsenal  | Mustafi Is Not A Scapegoat It's Time To Get Rid Of Him! (DT),2019-07-31T22:31:11Z,228713,3909,838
Angers (3-4 Pens) Arsenal  | We Can Win The League This Season If We Improve Our Defense!,2019-07-31T21:50:01Z,34334,590,177
Angers (3-4 Pens) Arsenal  | Fans From Lille Say Pépé Can Replace Sanchez!,2019-07-31T21:42:38Z,43812,616,95
Angers (3-4 Pens) Arsenal  | Pépé Can Play As A Winger & Striker!,2019-07-31T21:34:54Z,20551,393,49
Angers (3-4 Pens) Arsenal  | Aubameyang Was Impressive Today!,2019-07-31T21:30:21Z,13395,498,78
Angers (3-4 Pens) Arsenal  | Pépé Will Link Up Well With Aubameyang & Lacazette!,2019-07-31T21:26:24Z,18108,396,60
Angers (3-4 Pens) Arsenal  | We Need To Sign A Defender Like Umtiti!,2019-07-31T21:21:56Z,22547,555,139
David Seaman SURPRISES Keeper | 'I had the secret formula'  | BLUD BRUVVAS EXTENDED,2019-07-31T09:00:04Z,11675,345,38
Just How Good Is Nicolas Pépé? l Get French Football News Gives The Lowdown,2019-07-30T19:15:01Z,216734,4075,1063
Pepe Is An Amazing Signing & Booing Mustafi Is Disgraceful! | Claude & Ty Show,2019-07-30T15:45:00Z,101003,1509,586
Arsenal 1-2 Lyon | Maybe Our Plan With Pepe Is To Outscore Teams (Livz),2019-07-28T19:11:43Z,60236,921,181
Arsenal 1-2 Lyon | Nicolas Pepe or A Centre Back? (Robbie Asks The Fans),2019-07-28T18:50:47Z,123281,1807,455
Arsenal 1-2 Lyon | We Are Excited About Nicolas Pepe! (Curtis & Broadz),2019-07-28T18:47:54Z,35001,619,102
Arsenal 1- 2 Lyon | Kroenke Is Spending Because Of The Fans! (Troopz),2019-07-28T18:45:25Z,361511,5866,861
Arsenal 1- 2 Lyon | Why Are Fans Booing Mustafi? (Kelechi),2019-07-28T18:41:36Z,63632,1499,263
"Arsenal 1- 2 Lyon | Aubameyang, Lacazette & Pepe Is A Dream Attack!",2019-07-28T18:34:20Z,18142,325,84
Arsenal 1- 2 Lyon | I'm Confident We Will Get Top Four!,2019-07-28T18:30:28Z,21023,357,85
Arsenal 1- 2 Lyon | Defensively We Are Not Ready For The New Season! (DT),2019-07-28T18:22:11Z,258169,4484,787
Arsenal 1- 2 Lyon | Dani Ceballos Has Amazing Energy!,2019-07-28T18:16:29Z,36146,692,124
"Hey Josh, We're Very Very Excited About Pépé | AFTV Transfer Daily",2019-07-28T10:39:52Z,215250,5291,2093
Arsenal Midfielder Kim Little Talks About The Emirates Cup & The Women’s World Cup 2019!,2019-07-26T17:00:02Z,12349,338,56
MINISODE 2 | BLUD BRUVVAS 2 PRESEASON | DO YOUR TALKING ON THE PITCH!,2019-07-26T12:00:32Z,106598,2026,267
Who Said We Only Have £40m To Spend? (More To Come After Saliba) | AFTV Transfer Daily,2019-07-26T10:28:20Z,214639,4021,1304
Give Joe Willock A Chance This Season! | Claude & Ty Show,2019-07-25T16:00:02Z,36163,739,298
Arsenal Fans Are Still Waiting To Get Excited Josh! | AFTV Transfer Daily,2019-07-25T11:20:29Z,130878,2642,1171
Arsenal’s Big Real Madrid Test in DC! | AFTV In Washington Vlog Day 12,2019-07-24T20:21:03Z,61527,1319,307
Arsenal 2-3 (Pens) Real Madrid | Can Stan Kroenke Take Arsenal Forward? (Fans Debate),2019-07-24T05:19:17Z,66574,971,341
Arsenal 2-3 (Pens) Real Madrid | The American Kelechi Calls On Kroenke To Support Unai Emery!,2019-07-24T05:13:00Z,37948,676,88
Arsenal 2-3 (Pens) Real Madrid | Who's Going To Replace Koscielny?,2019-07-24T05:09:04Z,13284,263,32
Arsenal 2-3 (Pens) Real Madrid | Fan Who Went Viral With Edu Transfer Story Speaks Out!,2019-07-24T05:06:34Z,24051,458,45
Arsenal 2-3 (Pens) Real Madrid | Fan Praises Arsenal For How They Have Treated American Fans!,2019-07-24T05:02:44Z,11497,274,35
Arsenal 2-3 (Pens) Real Madrid | I Hope Cabellos Wont Be Another Denis Suarez! (Moh),2019-07-24T04:59:29Z,82533,1577,270
Arsenal 2-3 (Pens) Real Madrid | This Tour Might Change Kroenke!,2019-07-24T04:54:31Z,10884,344,57
