title,date,views,likes,comments,team_score,opponent_score
EXPRESSIONS LOSES IT WITH VAR & RANTS RIPS INTO MAN UTD!!! Bants Sports OOZ #20,2021-12-29,63448,2575,551,,
ITS NOT GOOD ENOUGH WE NEED TO BE WINNING THESE GAMES! Southampton 1-1 Tottenham EXPRESSIONS REACTS,2021-12-28,72764,3234,688,1.0,1.0
2 POINTS LOST!! 🤬Southampton 1 -1 Tottenham | LIVE Watch Along With Expressions,2021-12-28,69452,2057,224,1.0,1.0
PALACE PUT IN A SPLIFF WITHOUT PATRICK VIAGRA!! Tottenham 3-0 Crystal Palace EXPRESSIONS REACTS,2021-12-26,50593,2704,250,3.0,0.0
Tottenham 3-0 Crystal Palace | LIVE Watch Along With Expressions,2021-12-26,40077,1427,58,3.0,0.0
SMOKING THAT WEST HAM PACK INTO THE SEMI’S CHELS*UM NEXT! Tottenham 2-1 West Ham EXPRESSIONS REACTS,2021-12-22,53139,2601,300,2.0,1.0
Tottenham 2-1 West Ham | LIVE Watch Along With Expressions,2021-12-22,41321,1500,43,2.0,1.0
TOTTENHAM OFFICIALLY OUT OF EUROPE!!! Bants Sports OOZ #19 @Rants N Bants,2021-12-20,52301,2334,393,,
Tottenham 2-2 Liverpool MATCH DAY VLOG EXPRESSIONS | THE GAME OF THE SEASON SO FAR!!!,2021-12-19,46177,2097,227,2.0,2.0
Tottenham 2 vs Liverpool 2 - WE HAD MORE CHANCES THAN WENDY WILLIAMS HUSBAND😭😭 EXPRESSIONS REACTS,2021-12-19,71535,3979,492,,
"THE PRETTIER THE WOMAN THE MORE PROBLEMS FOR THE MAN, I NEARLY GOT ASSAULTED! EX FILES w EXPRESSIONS",2021-12-18,43504,2876,233,,
TOTTENHAM GET CANCELLED EVERYWHERE THEY GO! DELE FINALLY LEAVING? SPURS STILL IN EUROPE? EXPRESSIONS,2021-12-16,46161,2209,223,,
"AUBAMA WHERE? RONALDO SHAMELESS, CITY STEAL ONE, CHELSEA PUNISH LEEDS! Bants Sports OOZ #18",2021-12-13,40486,1620,138,,
"TOTTENHAM OUT OF EUROPE? 😳 BREXIT FC, UNION JACK HOTSPUR 😭😭  EXPRESSIONS REACTS",2021-12-12,88301,3489,566,,
"TOTTENHAM HOTSPUR IN TROUBLE! ROCKED BY Covid-19 😭😭, GAMES POSTPONED!! EXPRESSIONS REACTS",2021-12-09,38114,1807,207,,
EXPRESSIONS UNLEASHES ON ARSENAL (R.I.P MARVIN MORGAN) Bants Sports OOZ #17,2021-12-07,68268,3003,412,,
THREE AT LAST LIKE MARTIN LUTHUR KING!! | Tottenham 3-0 Norwich MATCH DAY VLOG with EXPRESSIONS,2021-12-05,28965,1655,119,3.0,0.0
ABOVE THE ARSE LIKE A LOWER BACK CONTE HAS ARRIVED!! Tottenham 3-0 Norwich EXPRESSIONS REACTS,2021-12-05,40521,2375,261,3.0,0.0
SONALDO STINGS THE BEES & CR7 PUTS ASSNA IN A SP***F Tottenham 2-0 Brentford EXPRESSIONS REACTS,2021-12-02,46557,2718,231,2.0,0.0
Tottenham 2-0 Brentford | LIVE Watch Along With Expressions,2021-12-02,43714,1467,27,2.0,0.0
CONTE RIPS THE LEVEL OF THE SPURS PLAYERS AND RANGNICK TAKEOVER - Bants Sports OOZ #16,2021-11-30,57091,2555,312,,
EX Plays FIFA 22 - Tottenham Road To Div 1 #1,2021-11-28,43359,2058,95,1.0,1.0
THE EMBARRASSMENT CONTINUES IM FUMING! NS Mura 2-1 Tottenham MATCH REACTION with EXPRESSIONS,2021-11-25,155621,6619,1306,1.0,2.0
OLE SACKED AND ARSENAL HOLD 4 - Bants Sports OOZ #15,2021-11-24,47870,2286,361,,
ANTONIO CONTE MADE THE DIFFERENCE! Tottenham 2-1 Leeds MATCH REACTION with EXPRESSIONS,2021-11-21,58246,3307,223,2.0,1.0
