title,date,views,likes,comments
EXPRESSIONS LOSES IT WITH VAR & RANTS RIPS INTO MAN UTD!!! Bants Sports OOZ #20,2021-12-29T15:11:35Z,63448,2575,551
ITS NOT GOOD ENOUGH WE NEED TO BE WINNING THESE GAMES! Southampton 1-1 Tottenham EXPRESSIONS REACTS,2021-12-28T17:54:32Z,72764,3234,688
2 POINTS LOST!! 🤬Southampton 1 -1 Tottenham | LIVE Watch Along With Expressions,2021-12-28T17:20:37Z,69452,2057,224
PALACE PUT IN A SPLIFF WITHOUT PATRICK VIAGRA!! Tottenham 3-0 Crystal Palace EXPRESSIONS REACTS,2021-12-26T17:31:01Z,50593,2704,250
Tottenham 3-0 Crystal Palace | LIVE Watch Along With Expressions,2021-12-26T16:59:10Z,40077,1427,58
SMOKING THAT WEST HAM PACK INTO THE SEMI’S CHELS*UM NEXT! Tottenham 2-1 West Ham EXPRESSIONS REACTS,2021-12-22T23:02:07Z,53139,2601,300
Tottenham 2-1 West Ham | LIVE Watch Along With Expressions,2021-12-22T22:05:27Z,41321,1500,43
TOTTENHAM OFFICIALLY OUT OF EUROPE!!! Bants Sports OOZ #19 @Rants N Bants,2021-12-20T15:50:18Z,52301,2334,393
Tottenham 2-2 Liverpool MATCH DAY VLOG EXPRESSIONS | THE GAME OF THE SEASON SO FAR!!!,2021-12-19T20:29:07Z,46177,2097,227
Tottenham 2 vs Liverpool 2 - WE HAD MORE CHANCES THAN WENDY WILLIAMS HUSBAND😭😭 EXPRESSIONS REACTS,2021-12-19T19:02:50Z,71535,3979,492
"THE PRETTIER THE WOMAN THE MORE PROBLEMS FOR THE MAN, I NEARLY GOT ASSAULTED! EX FILES w EXPRESSIONS",2021-12-18T12:00:22Z,43504,2876,233
TOTTENHAM GET CANCELLED EVERYWHERE THEY GO! DELE FINALLY LEAVING? SPURS STILL IN EUROPE? EXPRESSIONS,2021-12-16T17:09:54Z,46161,2209,223
"AUBAMA WHERE? RONALDO SHAMELESS, CITY STEAL ONE, CHELSEA PUNISH LEEDS! Bants Sports OOZ #18",2021-12-13T16:18:27Z,40486,1620,138
"TOTTENHAM OUT OF EUROPE? 😳 BREXIT FC, UNION JACK HOTSPUR 😭😭  EXPRESSIONS REACTS",2021-12-12T13:38:26Z,88301,3489,566
"TOTTENHAM HOTSPUR IN TROUBLE! ROCKED BY Covid-19 😭😭, GAMES POSTPONED!! EXPRESSIONS REACTS",2021-12-09T15:57:26Z,38114,1807,207
EXPRESSIONS UNLEASHES ON ARSENAL (R.I.P MARVIN MORGAN) Bants Sports OOZ #17,2021-12-07T15:15:01Z,68268,3003,412
THREE AT LAST LIKE MARTIN LUTHUR KING!! | Tottenham 3-0 Norwich MATCH DAY VLOG with EXPRESSIONS,2021-12-05T19:30:54Z,28965,1655,119
ABOVE THE ARSE LIKE A LOWER BACK CONTE HAS ARRIVED!! Tottenham 3-0 Norwich EXPRESSIONS REACTS,2021-12-05T17:01:46Z,40521,2375,261
SONALDO STINGS THE BEES & CR7 PUTS ASSNA IN A SP***F Tottenham 2-0 Brentford EXPRESSIONS REACTS,2021-12-02T22:55:31Z,46557,2718,231
Tottenham 2-0 Brentford | LIVE Watch Along With Expressions,2021-12-02T21:41:47Z,43714,1467,27
CONTE RIPS THE LEVEL OF THE SPURS PLAYERS AND RANGNICK TAKEOVER - Bants Sports OOZ #16,2021-11-30T10:00:26Z,57091,2555,312
EX Plays FIFA 22 - Tottenham Road To Div 1 #1,2021-11-28T16:10:59Z,43359,2058,95
THE EMBARRASSMENT CONTINUES IM FUMING! NS Mura 2-1 Tottenham MATCH REACTION with EXPRESSIONS,2021-11-25T20:13:06Z,155621,6619,1306
OLE SACKED AND ARSENAL HOLD 4 - Bants Sports OOZ #15,2021-11-24T12:00:33Z,47870,2286,361
ANTONIO CONTE MADE THE DIFFERENCE! Tottenham 2-1 Leeds MATCH REACTION with EXPRESSIONS,2021-11-21T19:22:33Z,58246,3307,223
Tottenham vs Leeds - LIVE Watch Along With Expressions,2021-11-21T18:30:36Z,84335,2886,87
KANE ON FIRE FOR ENGLAND WHAT ABOUT SPURS? THE PL IS BACK! Bants Sports OOZ #14,2021-11-18T12:00:17Z,43305,2251,261
EXPRESSIONS GOES TO HIS FIRST BASKETBALL GAME ft @TroopzTV : Knicks 92-84 Pacers MATCHDAY VLOG,2021-11-16T15:12:03Z,27346,1608,280
"NO SHOTS ON TARGET FOR SPURS AGAIN!, RANTS WANTS OLE TO STAY IN NORWAY! Bants Sports Ooz #13",2021-11-10T09:00:23Z,68815,3149,407
NO CREATIVITY THESE PLAYERS JUST MAKE BABIES! 😑Everton 0-0 Tottenham MATCH REACTION with EXPRESSIONS,2021-11-07T17:07:14Z,99351,4324,689
NOT GOOD ENOUGH! 🤬 Everton 0 vs Tottenham 0 LIVE WATCH ALONG with Expressions,2021-11-07T16:21:46Z,70631,2352,169
3-0 UP TO HOLDING ON FOR DEAR LIFE ONLY SPURS 😭😭 - Tottenham 3-2 Vitesse EXPRESSIONS REACTS,2021-11-04T22:43:25Z,81723,3388,555
Tottenham 3 vs Vitesse 2 LIVE WATCH ALONG with Expressions,2021-11-04T22:04:35Z,109482,2808,113
"NUNO OUT, CONTE IN AND OLE AT THE WHEEL WITH A NEW LICENCE PLATE! Bants Sports OOZ  #12",2021-11-03T12:00:27Z,80214,3653,580
Antonio Conte WELCOME TO TOTTENHAM! EXPRESSIONS REACTS,2021-11-02T12:12:44Z,150426,7835,1199
NUNO ESPIRITO SANTO SACKED BY TOTTENHAM!!  EXPRESSIONS REACTS!!!,2021-11-01T12:13:29Z,159332,7252,1158
P45 FOR NUNO AND EXPRESSIONS RIPS BEN DAVIES - Tottenham 0-3 Manchester United : PLAYER RATINGS,2021-10-31T17:07:04Z,103217,4614,578
I AM DONE OUT HERE! NUNO HAS TO GO😡 Tottenham 0-3 Manchester United MATCH DAY VLOG with EXPRESSIONS,2021-10-30T20:27:11Z,228782,7648,822
3-0 AGAIN MY HEAD IS GONE 🤬 NUNO OUT!!! - Tottenham 0-3 Manchester United Match Reaction,2021-10-30T19:36:27Z,222053,10760,1591
"NUNO BALL IS KILLING ME, LUCAS MOURA SAVES THE DAY! Burnley 0-1 Tottenham Match Reaction EXPRESSIONS",2021-10-27T21:23:36Z,51687,2517,270
Ole OUT! And Is Nuno On Thin Ice! Expressions and Rants IN THE MUD! Bants Sports OOZ #11,2021-10-26T16:43:54Z,94850,3841,616
HARRY KANE PLAYING DEFENSIVE MIDFIELD! 🤬 West Ham vs Tottenham 1-0 PLAYER RATINGS with EXPRESSIONS,2021-10-25T08:55:20Z,58637,2709,404
WE HAVE LOST 4 DERBYS ALREADY! 🤬🤬 IVE HAD ENOUGH! West Ham (1) vs Tottenham (0) EXPRESSIONS REACTS,2021-10-24T15:26:55Z,138004,6831,967
IVE HAD ENOUGH OF THIS 🤬🤬! West Ham (1) vs Tottenham (0) - LIVE Watch Along With Expressions,2021-10-24T14:59:06Z,114675,3235,260
NUNO MUST HAVE THESE GUYS LISTENING TO RICKY MARTIN INSTEAD OF TRAINING! 🤬 West Ham vs Tottenham,2021-10-23T09:00:10Z,34745,2103,148
I THOUGHT I COULD I HAVE A NIGHT OFF BUT NO!! 🤬Vitesse 1 vs Tottenham 0 EXPRESSIONS REACTS,2021-10-21T19:17:56Z,97942,5181,705
IS EXPRESSIONS MOVING TO AMERICA? RANTS WANTS OLE OUT AND RIPS HARRY MAGUIRE!🤬BANTS SPORTS OOZ EP10,2021-10-20T11:00:29Z,65669,3167,609
EXPRESSIONS OOZING SIGNS! THANK YOU TO ALL MY FANS WHO MADE THIS POSSIBLE! ❤️ YOU CHANGED MY LIFE!,2021-10-18T08:00:01Z,83821,5910,791
MO MONEY MORE PROBLEMS LIKE BIGGIE SMALLS😂 NU-NO SUBS AGAIN! Newcastle 2 vs Tottenham 3 EXPRESSIONS,2021-10-17T18:43:30Z,59545,2930,306
Newcastle (2) vs Tottenham (3) LIVE WATCH ALONG With EXPRESSIONS,2021-10-17T17:58:56Z,115363,2950,83
WHERE IS HARRY KANE?🤬 NUNO HAS TO WIN SUNDAY! DELE TO NEWCASTLE? 😳 Newcastle vs Spurs EXPRESSIONS,2021-10-15T18:19:07Z,32859,1750,195
"NEWCASTLE WIN THE SHEIK LOTTERY,  RONALDO PLAYER OF THE MONTH THE PREM IS BACK! BANTS SPORTS OOZ 9",2021-10-13T09:00:07Z,49663,2100,690
"HALF HEARTED HARRY KANE 😭, RONALDO DROPPED LOSES IT WITH OLE, MO SALAH GOAT? BANTS SPORTS OOZ EP 8",2021-10-05T18:45:31Z,63677,2483,452
3 POINTS BUT IS HARRY KANE IS PLAYING IN A STRAIGHT JACKET? Tottenham 2 vs Aston Villa 1 EXPRESSIONS,2021-10-03T17:03:17Z,50955,2355,241
"SPURS TAKE THE 3 POINTS, KANE STILL MISSING😴😴 Tottenham 2 vs Aston Villa 1 EXPRESSIONS VLOG",2021-10-03T16:21:58Z,45925,2031,161
I STILL GOT PTSD FROM THE NORTH LONDON DERBY😴 NUNO NEEDS TO BEAT VILLA! Spurs 5 Mura 1 EXPRESSIONS,2021-09-30T21:36:58Z,73049,3131,323
"EXPRESSIONS LOSES IT WITH NUNO, LEVY AND SPURS 🤬UNITED LOSE AGAIN, AJ VS USYK  BANTS SPORTS OOZ EP7",2021-09-28T16:02:36Z,130800,4612,670
ABSOLUTELY EMBARRASSED IN A NORTH LONDON DERBY WE ARE IN TROUBLE🤬 Arsenal 3 Tottenham 1 EXPRESSIONS,2021-09-26T18:45:33Z,323558,13887,2192
THIS WAS THE WORST NLD IN AGES WE GOT PEPPERED 🤬🤬Arsenal 3 vs Tottenham 1 LIVE with EXPRESSIONS,2021-09-26T17:36:08Z,285449,8592,812
WE NEVER AGREE WE GO TO WAR ON SUNDAY| Arsenal vs Tottenham NLD COMBINED 11 @TroopzTV vs EXPRESSIONS,2021-09-25T08:58:50Z,124574,4918,732
EXPRESSIONS GOES TO WWE LIVE 02 LONDON FEAT @TroopzTV PRE DRINKS BEFORE NORTH LONDON DERBY!,2021-09-23T10:18:58Z,43543,1701,154
HAPPY TO WIN BUT WE ALWAYS COLLAPSE SECOND HALF! 😭 ! Wolves (2) Tottenham (2) EXPRESSIONS REACTS,2021-09-22T21:48:51Z,40515,1946,155
Wolves vs Tottenham CARABAO CUP LIVE WITH EXPRESSIONS,2021-09-22T21:12:27Z,72127,2311,44
"CHELSC*M RUN RIOT AT SPURS, CR7 SCORES AGAIN, ASSNA COMING BACK? BANTS SPORTS OOZ EP 6| RANTS + NIC",2021-09-21T18:56:30Z,58410,2389,858
"NO HEART, PASSION OR FIGHT 2ND HALF ITS EMBARRASSING!🤬Tottenham (0) vs Chelsea (3) EXPRESSIONS VLOG",2021-09-19T19:36:10Z,108408,3833,384
WE GOT ABSOLUTELY EMBARRASSED TODAY IM FUMING!🤬 Tottenham (0) vs Chelsea (3) EXPRESSIONS REACTS,2021-09-19T18:07:03Z,199422,9242,1456
IM SCARED OF WHAT THE SCORE WILL BE AGAINST CHELSEA😭 Rennes (2) vs Tottenham (2) EXPRESSIONS REACTS,2021-09-16T19:57:13Z,79004,3385,498
THE FOOTBALL WAS TERRIBLE!! Rennes (2) vs Tottenham (2) EUROPA Conference LEAGUE LIVE EXPRESSIONS,2021-09-16T18:53:23Z,61456,2236,104
