title,date,views,likes,comments,team_score,opponent_score
RANGNICK GONE! Man Utd Transfer News,2022-05-29,59160,6057,200.0,,
TEN HAG'S 200 MILLION Transfer Request! Man Utd Transfer News,2022-05-29,145954,5766,150.0,,
TEN HAG'S DE JONG Back Up Plan! Man Utd Transfer News,2022-05-28,136669,4374,250.0,,
United AGREE DE JONG FEE! TEN HAG Persuades FRENKIE? Man Utd Transfer News,2022-05-28,278585,9293,757.0,,
TEN HAG'S First SIGNING! Man Utd Transfer News,2022-05-27,251850,7049,348.0,,
TORRES or TIMBER TRANSFER BATTLE! + £100M NUNEZ FEE! | Man United Transfer News,2022-05-27,95615,2729,241.0,,
Nunez Transfer Offer! 3 Up For Sale! | Man Utd Transfer News,2022-05-27,201929,6202,393.0,,
SELL Maguire! SIGN Torres & Timber! Goldbridge Hot Take,2022-05-27,127931,4644,893.0,,
DE JONG Transfer Deadline! Man Utd Transfer News,2022-05-26,204519,6398,288.0,,
NKUNKU Transfer Offer! Man Utd Transfer News,2022-05-26,169771,5347,309.0,,
DE GEA New DEAL! DE JONG FEE Agreed! Man Utd Transfer News,2022-05-26,225952,8263,572.0,,
Is Gary NEVILLE Right About TEN HAG Goldbridge Reacts,2022-05-26,196888,5429,651.0,,
Ten Hag TARGETS TRANSFER QUADRUPLE? Man Utd Transfer News,2022-05-25,138915,3818,242.0,,
Ten Hag To DROP MAGUIRE & NEW CAPTAIN!? Man Utd Transfer News,2022-05-25,129474,3596,385.0,,
TIMBER DEAL VERY CLOSE! Man Utd Transfer News,2022-05-25,129679,3850,262.0,,
The END Of MCFRED At Manchester United! Goldbridge Reacts,2022-05-25,259004,7892,1100.0,,
TEN HAG'S Transfer Confusion! Man Utd Transfer News,2022-05-24,256632,7454,465.0,,
Ten Hag's TRANSFER TARGETS! MARK OGDEN Man Utd News,2022-05-24,137079,3797,955.0,,
TIMBER To UNITED Nearly DONE! Man Utd News,2022-05-24,231426,7178,502.0,,
Why TEN HAG Will Make DE GEA His United Number One!,2022-05-24,89280,3823,470.0,,
TEN HAG's Dressing Room Warning! Man Utd News,2022-05-23,263126,9161,824.0,,
TEN HAG's First PRESS CONFERENCE as Manchester United Manager!,2022-05-23,287691,10273,530.0,,
Erik TEN HAG's First Interview as Manchester United Manager!,2022-05-23,280328,11035,488.0,,
The END of Bruno FERNANDES at Manchester United Goldbridge Reacts,2022-05-23,291170,7312,1233.0,,
TEN HAG NEEDS NEW DEFENCE! Crystal Palace 1-0 Manchester United | GRAHAM'S FAN VLOG,2022-05-22,32174,426,80.0,0.0,1.0
DE GEA PLAYER OF YEAR! Crystal Palace 1-0 Manchester United | SAM'S FAN VLOG,2022-05-22,11673,330,44.0,0.0,1.0
58 POINTS = DISASTER SEASON! Crystal Palace 1-0 Manchester United | LIVE LAST Fan's Forum,2022-05-22,137897,2790,282.0,0.0,1.0
RONALDO PART OF PROBLEM! Crystal Palace 1-0 Manchester United | BAMBO'S FAN VLOG,2022-05-22,23661,637,273.0,0.0,1.0
TEN HAG'S HUGE CHALLENGE! Crystal Palace 1-0 Manchester United | ADAM'S FAN VLOG,2022-05-22,37412,1151,128.0,0.0,1.0
GOLDBRIDGE! CRYSTAL PALACE 1-0 MANCHESTER UNITED Match Reaction,2022-05-22,352671,11787,725.0,0.0,1.0
CRYSTAL PALACE vs MAN UTD & FINAL DAY PREMIER LEAGUE LIVE GOLDBRIDGE Watchalong!,2022-05-22,607096,13270,304.0,,
NO RONALDO! How Will United Score? Crystal Palace vs Manchester United | Adam’s Road Trip,2022-05-22,25575,1026,79.0,,
TEN HAG Sends United Message! Man Utd Transfer News,2022-05-22,189922,5774,365.0,,
DE JONG Transfer Hint! Man Utd Transfer News,2022-05-21,202440,6448,329.0,,
UNITED LEGENDS Welcome Ten Hag! | Man Utd News,2022-05-21,128119,4294,231.0,,
Crystal Palace vs Man Utd! RONALDO Out of Season Ender,2022-05-21,95889,3176,274.0,,
DE JONG & RONALDO Transfer Update! Man Utd Transfer News,2022-05-21,234085,6939,430.0,,
TEN HAG & RANGNICK's Transfer List! Man Utd Transfer News,2022-05-20,222745,6765,415.0,,
RANGNICK PRESS CONFERENCE REACTION! CRYSTAL PALACE vs MANCHESTER UNITED,2022-05-20,145236,4524,325.0,,
RANGNICK & MAGUIRE'S Last Game? Man Utd Transfer News,2022-05-20,159013,4581,304.0,,
The END of Marcus RASHFORD at Manchester United Goldbridge Reacts,2022-05-20,187647,5588,1055.0,,
Nunez Snubs United Transfer! Man Utd News,2022-05-19,126376,2930,195.0,,
HENDERSON To NEWCASTLE! ANTONY Transfer Latest! Man Utd Transfer News,2022-05-19,225716,6685,503.0,,
DE JONG Transfer Warning! LAIMER UPDATE!!! Man Utd Transfer News,2022-05-19,166384,5230,326.0,,
TEN HAG's DREAM TRANSFER WINDOW! Goldbridge Reacts,2022-05-19,118406,4790,469.0,,
UNITED's CDM Transfer Race! Man Utd Transfer News,2022-05-18,165021,4769,331.0,,
TEN HAG Wants MARTINEZ! Man Utd Transfer News,2022-05-18,164644,4914,388.0,,
TIMBER Price Agreed? KAMARA Transfer Development! Man Utd Transfer News,2022-05-18,200994,6264,440.0,,
TEN HAG MUST NOT DO THIS! Goldbridge Reacts,2022-05-18,151384,5280,719.0,,
TEN HAG's Transfer Deadline! Man Utd Transfer News,2022-05-17,210099,6622,286.0,,
TIMBER Agrees MAN UTD Transfer! Man Utd News,2022-05-17,293501,10048,677.0,,
Ten Hag's Top 3 Transfer Targets! Man Utd News,2022-05-16,126779,3029,172.0,,
TEN HAG Talks TIMBER & ANTHONY Transfer! Man Utd News,2022-05-16,233496,7097,512.0,,
