title,date,views,likes,comments
RANGNICK GONE! Man Utd Transfer News,2022-05-29T14:36:47Z,59160,6057,200
TEN HAG'S 200 MILLION Transfer Request! Man Utd Transfer News,2022-05-29T10:29:11Z,145954,5766,150
TEN HAG'S DE JONG Back Up Plan! Man Utd Transfer News,2022-05-28T18:49:11Z,136669,4374,250
United AGREE DE JONG FEE! TEN HAG Persuades FRENKIE? Man Utd Transfer News,2022-05-28T09:22:41Z,278585,9293,757
TEN HAG'S First SIGNING! Man Utd Transfer News,2022-05-27T20:04:46Z,251850,7049,348
TORRES or TIMBER TRANSFER BATTLE! + £100M NUNEZ FEE! | Man United Transfer News,2022-05-27T14:01:25Z,95615,2729,241
Nunez Transfer Offer! 3 Up For Sale! | Man Utd Transfer News,2022-05-27T09:46:50Z,201929,6202,393
SELL Maguire! SIGN Torres & Timber! Goldbridge Hot Take,2022-05-27T06:00:09Z,127931,4644,893
DE JONG Transfer Deadline! Man Utd Transfer News,2022-05-26T20:08:03Z,204519,6398,288
NKUNKU Transfer Offer! Man Utd Transfer News,2022-05-26T13:49:25Z,169771,5347,309
DE GEA New DEAL! DE JONG FEE Agreed! Man Utd Transfer News,2022-05-26T09:43:19Z,225952,8263,572
Is Gary NEVILLE Right About TEN HAG Goldbridge Reacts,2022-05-26T06:00:03Z,196888,5429,651
Ten Hag TARGETS TRANSFER QUADRUPLE? Man Utd Transfer News,2022-05-25T19:58:23Z,138915,3818,242
Ten Hag To DROP MAGUIRE & NEW CAPTAIN!? Man Utd Transfer News,2022-05-25T14:07:34Z,129474,3596,385
TIMBER DEAL VERY CLOSE! Man Utd Transfer News,2022-05-25T10:06:58Z,129679,3850,262
The END Of MCFRED At Manchester United! Goldbridge Reacts,2022-05-25T06:00:07Z,259004,7892,1100
TEN HAG'S Transfer Confusion! Man Utd Transfer News,2022-05-24T20:14:13Z,256632,7454,465
Ten Hag's TRANSFER TARGETS! MARK OGDEN Man Utd News,2022-05-24T12:54:44Z,137079,3797,955
TIMBER To UNITED Nearly DONE! Man Utd News,2022-05-24T09:43:28Z,231426,7178,502
Why TEN HAG Will Make DE GEA His United Number One!,2022-05-24T06:00:05Z,89280,3823,470
TEN HAG's Dressing Room Warning! Man Utd News,2022-05-23T20:14:41Z,263126,9161,824
TEN HAG's First PRESS CONFERENCE as Manchester United Manager!,2022-05-23T12:11:52Z,287691,10273,530
Erik TEN HAG's First Interview as Manchester United Manager!,2022-05-23T10:01:36Z,280328,11035,488
The END of Bruno FERNANDES at Manchester United Goldbridge Reacts,2022-05-23T06:00:10Z,291170,7312,1233
TEN HAG NEEDS NEW DEFENCE! Crystal Palace 1-0 Manchester United | GRAHAM'S FAN VLOG,2022-05-22T19:15:03Z,32174,426,80
DE GEA PLAYER OF YEAR! Crystal Palace 1-0 Manchester United | SAM'S FAN VLOG,2022-05-22T19:00:15Z,11673,330,44
58 POINTS = DISASTER SEASON! Crystal Palace 1-0 Manchester United | LIVE LAST Fan's Forum,2022-05-22T18:54:54Z,137897,2790,282
RONALDO PART OF PROBLEM! Crystal Palace 1-0 Manchester United | BAMBO'S FAN VLOG,2022-05-22T18:45:00Z,23661,637,273
TEN HAG'S HUGE CHALLENGE! Crystal Palace 1-0 Manchester United | ADAM'S FAN VLOG,2022-05-22T18:30:26Z,37412,1151,128
GOLDBRIDGE! CRYSTAL PALACE 1-0 MANCHESTER UNITED Match Reaction,2022-05-22T17:40:31Z,352671,11787,725
CRYSTAL PALACE vs MAN UTD & FINAL DAY PREMIER LEAGUE LIVE GOLDBRIDGE Watchalong!,2022-05-22T17:36:20Z,607096,13270,304
NO RONALDO! How Will United Score? Crystal Palace vs Manchester United | Adam’s Road Trip,2022-05-22T11:15:26Z,25575,1026,79
TEN HAG Sends United Message! Man Utd Transfer News,2022-05-22T10:04:09Z,189922,5774,365
DE JONG Transfer Hint! Man Utd Transfer News,2022-05-21T20:08:30Z,202440,6448,329
UNITED LEGENDS Welcome Ten Hag! | Man Utd News,2022-05-21T18:09:00Z,128119,4294,231
Crystal Palace vs Man Utd! RONALDO Out of Season Ender,2022-05-21T13:00:10Z,95889,3176,274
DE JONG & RONALDO Transfer Update! Man Utd Transfer News,2022-05-21T09:44:09Z,234085,6939,430
TEN HAG & RANGNICK's Transfer List! Man Utd Transfer News,2022-05-20T20:12:05Z,222745,6765,415
RANGNICK PRESS CONFERENCE REACTION! CRYSTAL PALACE vs MANCHESTER UNITED,2022-05-20T14:00:37Z,145236,4524,325
RANGNICK & MAGUIRE'S Last Game? Man Utd Transfer News,2022-05-20T10:09:14Z,159013,4581,304
The END of Marcus RASHFORD at Manchester United Goldbridge Reacts,2022-05-20T06:00:05Z,187647,5588,1055
Nunez Snubs United Transfer! Man Utd News,2022-05-19T20:12:21Z,126376,2930,195
HENDERSON To NEWCASTLE! ANTONY Transfer Latest! Man Utd Transfer News,2022-05-19T13:48:16Z,225716,6685,503
DE JONG Transfer Warning! LAIMER UPDATE!!! Man Utd Transfer News,2022-05-19T09:45:32Z,166384,5230,326
TEN HAG's DREAM TRANSFER WINDOW! Goldbridge Reacts,2022-05-19T06:00:08Z,118406,4790,469
UNITED's CDM Transfer Race! Man Utd Transfer News,2022-05-18T18:44:11Z,165021,4769,331
TEN HAG Wants MARTINEZ! Man Utd Transfer News,2022-05-18T13:42:06Z,164644,4914,388
TIMBER Price Agreed? KAMARA Transfer Development! Man Utd Transfer News,2022-05-18T09:37:54Z,200994,6264,440
TEN HAG MUST NOT DO THIS! Goldbridge Reacts,2022-05-18T06:00:01Z,151384,5280,719
TEN HAG's Transfer Deadline! Man Utd Transfer News,2022-05-17T18:43:40Z,210099,6622,286
TIMBER Agrees MAN UTD Transfer! Man Utd News,2022-05-17T09:45:42Z,293501,10048,677
Ten Hag's Top 3 Transfer Targets! Man Utd News,2022-05-16T19:07:04Z,126779,3029,172
TEN HAG Talks TIMBER & ANTHONY Transfer! Man Utd News,2022-05-16T13:52:51Z,233496,7097,512
NUNEZ 60 Million Deal Hope! TEN HAG Interview Reaction! Man Utd News,2022-05-16T09:42:40Z,223216,7256,478
TEN HAG Starts TOMORROW! Man Utd Transfer News,2022-05-15T20:25:34Z,271576,8007,528
Ten Hag's Wants KANTE Transfer! Man Utd News,2022-05-15T10:24:47Z,260588,7165,704
Ten Hag's HUGE Transfer Budget! Man Utd News,2022-05-14T20:14:11Z,274944,8235,682
Big Player Fall Out! De Jong Transfer Latest! Man Utd News,2022-05-14T11:21:12Z,247091,7837,598
Ten Hag's Warning! Man Utd Transfer News,2022-05-13T20:14:11Z,149102,3506,301
